Row ID,Industry,Company,Name,Project Type,Project_Status,Technology,Key Tech,Key Values,Location,Region,Year,More
17.0,ACDP,Genslar,San Franciso International Airport,INFRASTRUCTURE,Completed,IoT,Analytics & Visualization,Decision Making,USA,North America,2014,
17.0,ACDP,Genslar,San Franciso International Airport,INFRASTRUCTURE,Completed,Platform,Analytics & Visualization,Decision Making,USA,North America,2014,
17.0,ACDP,Genslar,San Franciso International Airport,INFRASTRUCTURE,Completed,User Interface,Analytics & Visualization,Decision Making,USA,North America,2014,
18.0,ACDP,Hassell,Shenzhen Xinqiao,URBAN DESIGN,Completed,Building Information Modeling,Analytics & Visualization,Sustainability,China,Asia,2019,
18.0,ACDP,Hassell,Shenzhen Xinqiao,URBAN DESIGN,Completed,Data Analytics,Analytics & Visualization,Sustainability,China,Asia,2019,
18.0,ACDP,Hassell,Shenzhen Xinqiao,URBAN DESIGN,Completed,Parametric Design,Analytics & Visualization,Sustainability,China,Asia,2019,
18.0,ACDP,Hassell,Shenzhen Xinqiao,URBAN DESIGN,Completed,Data Visualisation,Analytics & Visualization,Sustainability,China,Asia,2019,
19.0,ACDP,SOM,Understanding Air Quality in Workspace,RESEARCH,Completed,Computational modeling,Analytics & Visualization,Decision Making,USA,North America,2021,
19.0,ACDP,SOM,Understanding Air Quality in Workspace,RESEARCH,Completed,digital modeling,Analytics & Visualization,Decision Making,USA,North America,2021,
19.0,ACDP,SOM,Understanding Air Quality in Workspace,RESEARCH,Completed,data analytics,Analytics & Visualization,Decision Making,USA,North America,2021,
19.0,ACDP,SOM,Understanding Air Quality in Workspace,RESEARCH,Completed,data visualisation,Analytics & Visualization,Decision Making,USA,North America,2021,
20.0,ACDP,SOM,Urban Sequoia,BUILDING,Completed,Parametric Design,Analytics & Visualization,Decision Making,USA,North America,2021,
20.0,ACDP,SOM,Urban Sequoia,BUILDING,Completed,Parametric Optimization,Analytics & Visualization,Decision Making,USA,North America,2021,
20.0,ACDP,SOM,Urban Sequoia,BUILDING,Completed,Building Information Modeling,Analytics & Visualization,Decision Making,USA,North America,2021,
21.0,ACDP,SOM,Autonomous Construction Monitoring,PRODUCT,Completed,Hardware sensing,Analytics & Visualization,Decision Making,UK,Other,2017,Image monitoring system
21.0,ACDP,SOM,Autonomous Construction Monitoring,PRODUCT,Completed,Data Analytics,Analytics & Visualization,Decision Making,UK,Other,2017,Image monitoring system
21.0,ACDP,SOM,Autonomous Construction Monitoring,PRODUCT,Completed,Software Tech,Analytics & Visualization,Decision Making,UK,Other,2017,Image monitoring system
21.0,ACDP,SOM,Autonomous Construction Monitoring,PRODUCT,Completed,Machine Learning,Analytics & Visualization,Decision Making,UK,Other,2017,Image monitoring system
21.0,ACDP,SOM,Autonomous Construction Monitoring,PRODUCT,Completed,Robotics,Analytics & Visualization,Decision Making,UK,Other,2017,Image monitoring system
22.0,ACDP,SOM,Robotic Construction: The Glass Vault,RESEARCH,Completed,Machine Learning,Analytics & Visualization,Flexibility,USA,North America,2021,
22.0,ACDP,SOM,Robotic Construction: The Glass Vault,RESEARCH,Completed,Platform,Analytics & Visualization,Flexibility,USA,North America,2021,
22.0,ACDP,SOM,Robotic Construction: The Glass Vault,RESEARCH,Completed,Hardware,Analytics & Visualization,Flexibility,USA,North America,2021,
